Title, Artist, Genre, Verse1, Verse2, Verse3, Verse4, Verse5, Verse6, Verse7, Verse8, Chorus1, Chorus2, Chorus3, Chorus4, Chorus5, Chorus6, Chorus7, Chorus8
Beginning,Akumajou Densetsu,Video Game,D,E,E,D,E,A,D,E,,,,,,,,
Zulf's Theme,Bastion Soundtrack,Video Game,C,F,E-,B-,C,F,E-,B-,E-,B-,E-,B-,,,,
Apocalypse,All Levels at Once,Video Game,G#,B,F#,E,G#,B,F#,E,E,C#,F#,D#,G#,G#,E,C#
Street Fighter Alpha - Charlie's Theme,Capcom,Video Game,A,G,F,G,A,D,A,G,,,,,,,,
Professor Layton vs Ace Attorney - Casting Magic,Capcom,Video Game,D#,B,C#,C#,B,C#,C#,D#,,,,,,,,
Mega Man 9 - Plug Man Stage,Capcom,Video Game,A,G,A,G,F,G,D,,,,,,,,,
Roller Mobster,Carpenter Brut,Video Game,,,,,,,,,C,E-,G,G,G,A,G,G
Mega Man 7 - Burst Man Stage,Capcom,Video Game,G,C,G,C,E-,D,C,D,,,,,,,,
Mega Man 10 - King of Blades,Akari Kaida,Video Game,G#,B,D#,B,G#,G#,B,D#,,,,,,,,
Another Winter,Anamanaguchi,Video Game,,,,,,,,,,,,,,,,
The Dark One,Anamanaguchi,Video Game,E,C,D,,,,,,E,E,E,E,C,C,C,C
Mega Man 4 - Pharaoh Man Stage,Capcom,Video Game,,,,,,,,,,,,,,,,
Angry Birds Theme,Ari Pulkkinen,Video Game,,,,,,,,,E,E,G#,E,E,E,G#,E
Eyes of Flame,Cave Story,Video Game,,,,,,,,,,,,,,,,
Okami - Yami,Capcom,Video Game,C,C,C,G,G,G,C,C,,,,,,,,
Futari Saison,Keyakizaka46,J-Pop,A-,E-,F,C,D-,C,B-,E-,D-,E-,C,F,D-,E-,C,F
Mondai Girl,Kyary Pamyu Pamyu,J-Pop,G,B,A,G,A,B,A,G,,,,,,,,
Asu e no Houkou,JAM Project,J-Pop,C#,A,E,B,C#,F#,F#,G#,C#,E,A,B,B,E,F#,G#
Okochoma Sensou,GigaP and Reol,J-Pop,A,F,G,A,F,G,A,F,A,F,G,A,F,G,A,G
Liminality,FELT,J-Pop,C,A-,C,A-,C,A-,C,C,A#,B,C#,D#,B,C#,D#,B
Galient World,EUROX,J-Pop,A,D,F,D,A,D,F,D,G,G,B,G,G,B,B,E
Sugar Rush,AKB48,J-Pop,G,D,B,A,G,D,B,A,D,E,B,A,D,E,B,A
Otonatic,Gesu no Kiwami Otome,J-Pop,,,,,,,,,A,G#,C#,G#,A,G#,C#,G#
Wooden Doll,Kenshi Yonezu,J-Pop,B-,C,B-,E-,B-,C,B-,E-,F,G,E-,B-,F,G,E-,B-
Aozora no Rhapsody,Fhana,J-Pop,E-,E-,E-,A-,F,E-,D,C,A-,C,D-,B-,C,F,B-,E-
Flyers - Death Parade OP,BRADIO,J-Pop,D-,F,G,A-,G,D-,F,G,C,G,D-,F,G,C,G,D-
Come Here Daitarn 3,Horimitsu Kazumichi,J-Pop,,,,,,,,,D,G,A,C,D,G,D,A
Smooooch---Akiba-Kobo-Remix-,Kors-K--DJ-Command,J-Pop,,,,,,,,,C,G,D,E,C,G,A,D
Double Lariat - featuring Megurine Luka,Agoaniki-P,J-Pop,,,,,,,,,,,,,,,,
Ouka Ranman,KEYTALK,J-Pop,B-,C,D,B-,C,F,B-,C,B-,C,F,D,B-,C,F,A
Friend Shitai,Gakuen seikatsu-bu,J-Pop,,,,,,,,,F,C,D,A,B-,F,G,C
Planetarium,Ai Otsuka,J-Pop,D,A,B-,D,A,B-,A,D,,,,,,,,
Macross 7 - Try Again,Fire Bomber,J-Pop,C,A,G,C,F,G,A,F,C,E,A,F,C,E,A,F
Dakishimete Dakishimete,Berryz Kobo,J-Pop,G#,C#,D#,G#,D#,C#,B,C#,G#,E,F#,B,C#,A#,E,D#
Party Join Us,Crayon Shin Chan,J-Pop,,,,,,,,,C,G,A,F,D,G,C,G
Roaring Tides,Clannad OST,J-Pop,,,,,,,,,,,,,,,,
ZZZ------Nichijou-ED-3,Hyadain--Sasaki Sayaka,J-Pop,,,,,,,,,D-,G-,A-,B-,E-,A-,D-,D-
Dress Down,Kaoru Akimoto,J-Pop,,,,,,,,,B-,A,G,A,C,B-,E-,A
Renai Circulation--Bakemonogatari OP4,Kana Hanazawa-Satoru Kousaki-meg rock,J-Pop,,,,,,,,,,,,,,,,
Yasashisa no Riyuu-Hyouka-OP,Choucho,J-Pop,,,,,,,,,F#,B,C#,C#,D#,D#,C#,B
Love Live Sunshine - Mijuku DREAMER,Aqours,J-Pop,F,B-,D,F,F,D,A,F,F,C,C,C,G,C,C,C
Sakuranbo,Ai Ootsuka,J-Pop,,,,,,,,,D,G,D,E,B,C,D,B
Love Live - Silent tonight,BiBi,J-Pop,,,,,,,,,,,,,,,,
Love Live Sunshine - Omoi yo Hitotsu ni Nare,Aqours,J-Pop,,,,,,,,,A,E,F#,E,D,A,B,E
Heavy Rotation,AKB48,J-Pop,,,,,,,,,E,G#,C#,B,A,B,E,B
Sweet Treasure,Ayachi Nene,J-Pop,,,,,,,,,B-,C,C,D,C,D,E,B-
Love Live - Mermaid festa vol 2 -Passionate-,Honoka Kousaka - Rin Hoshizora,J-Pop,F,C,D,C,C,B-,C,D,G,D,E,D,D,C,D,E
Negaigoto No Mochigusare,AKB48,J-Pop,,,,,,,,,A,E,E,A,D,A,E,E
1984,Junko Yagami,J-Pop,,,,,,,,,A-,G,G,G,F,A-,B-,
Mischievous Function - Ochame kinou,Gojimaji-P,J-Pop,E,B,C#,C#,D#,E,B,C#,E,B,C#,C#,D#,E,B,C#
Katamari on the Rocks,Katamari Damacy Soundtrack,J-Pop,,,,,,,,,B,F#,A#,F#,B,F#,A#,F#
Love Live Sunshine - MIRAI TICKET,Aqours,J-Pop,B-,E-,F,A,G,C,C,B-,G,C,D,F#,E,D,D,C
Artificial Children,IOSYS,J-Pop,,,,,,,,,,,,,,,,
SONG FOR,FELT,J-Pop,A-,B-,C,C,A-,B-,D,B-,A-,B-,G,C,A-,B-,C,G
Motteke Sailor Fuku,Kousaki Satoru - Hata Aki,J-Pop,,,,,,,,,F,B-,D-,E-,F,F,B-,D-
Closer,Joe Inoue,J-Pop,B,F#,G#,F#,B,E,B,C#,E,F#,B,G#,E,F#,B,G#
Tsukematsukeru,Kyary Pamyu Pamyu,J-Pop,D,A,D,F#,E,A,D,A,D,C#,B,A,D,C#,B,E
Futari no Mojipittan,Kotoba no Puzzle,J-Pop,,,,,,,,,,,,,,,,
Love Live Sunshine S2 - WONDERFUL STORIES,Aqours,J-Pop,,,,,,,,,A-,E-,E-,F,D-,D-,B-,E-
Love Live Sunshine - Kowareyasuki,Guilty Kiss,J-Pop,,,,,,,,,B,C#,D#,A#,B,C#,F#,A#
Himouto Umaru-chan OP,Himouto Umaru-chan,J-Pop,,,,,,,,,D,A,B,A,A,G,D,A
Here And There Acchi Kocchi,DATEKEN--Kagamine Rin,J-Pop,,,,,,,,,,,,,,,,
Love Live Sunshine - HAPPY PARTY TRAIN,Aqours,J-Pop,,,,,,,,,A,A,A,D,E,A,E,F#
Koi,Hoshino Gen,J-Pop,,,,,,,,,,,,,,,,
Love Live Sunshine S2 - WATER BLUE NEW WORLD,Aqours,J-Pop,,,,,,,,,,,,,,,,
Melodies Of Life - FFIX,Emiko Shiratori,J-Pop,E,E,C#,C#,A,G#,A,E,,,,,,,,
Ambiguous - Kill La Kill KLK Opening 2,GARNiDELiA,J-Pop,,,,,,,,,,,,,,,,
Ponytail to Shushu,AKB48,J-Pop,,,,,,,,,,,,,,,,
Blue Bird,Ikimono-gakari,J-Pop,F#,E,D,A,B,A,D,C#,D,C#,F#,B,E,A,D,C#
Hatsukoi,Kojima Mayumi,J-Pop,,,,,,,,,,,,,,,,
Hyadain's-O-O-O-One-sided-Love-C---Nichijou-OP-1,Hyadain,J-Pop,F,E,C,D,C,C,B-,F,,,,,,,,
LUVORATORRRRRY,GigaP and Reol,J-Pop,F#,F#,D,D,A,A,C#,C#,,,,,,,,
Connect,ClariS,J-Pop,A,A,B,B,B,G#,D#,C#,D,D,C,D,D,B,E,E
Binks No Sake,Kohei Tanaka,J-Pop,,,,,,,,,,,,,,,,
Great Days,Karen Aoki and Daisuke Hasegawa,J-Pop,,,,,,,,,F#,C#,C#,B,C#,F#,G#,B
Jupiter,Ayaka Hirahara,J-Pop,G-,A-,D-,G-,A-,B-,B-,G-,,,,,,,,
Lovelight - Bad Apple,Alstroemeria Records,J-Pop,D#,B,C#,C#,D#,B,C#,C#,B,C#,D#,B,C#,D#,B,C#
Furisodation,Kyary Pamyu Pamyu,J-Pop,,,,,,,,,,,,,,,,
Aoi Hana,Color Bottle,J-Pop,,,,,,,,,E,A,G,F,B-,E,A,G
Only My Railgun,fripSide,J-Pop,F,E-,D-,E-,A-,E-,F,E-,G#,E,F#,B,F#,G#,E,C#
Ashita ni Ikiro Baldios,Koichi Ise,J-Pop,D,D,B-,A,A,G,C,F,,,,,,,,
Hare Hare Yukai - The Melancholy of Haruhi ED1,Aya Hirano,J-Pop,,,,,,,,,F,E,C,D,C,C,B-,A
Undo-Full-Metal-Alchemist-FMA-OP3,Cool Joke,J-Pop,,,,,,,,,G#,B,E,F#,D#,D#,D#,D#
SKILL,JAM Project,J-Pop,,,,,,,,,E,B,B,A,C#,E,F#,B
Perfume,Fusq,J-Pop,,,,,,,,,,,,,,,,
CANDY CANDY,Kyary Pamyu Pamyu,J-Pop,,,,,,,,,G#,G#,A#,D#,B,G#,A#,D#
Level5- Judgelight  - To Aru Kagaku no Railgun OP2,fripSide,J-Pop,G#,D#,E,B,C#,F#,D#,G#,G#,D#,E,F#,B,C#,F#,B
Getter Robo,Isao Sasaki,J-Pop,F,C,F,D-,E-,C,F,C,G,A-,C,B-,C,F,E-,C
GONG,JAM Project,J-Pop,,,,,,,,,,,,,,,,
Sky Gate,FELT,J-Pop,G,B,G,B,G,B,G,B,G,A,B,G,A,B,G,A
Mag Mell Cuckool Mix 2007 - Clannad OP,Eufonius,J-Pop,B,A,G,A,B,A,E,B,E,C,G,A,D,E,C,D
Kira Kira Killer,Kyary Pamyu Pamyu,J-Pop,G,C,D,G,C,D,,,C,D,C,B,E,D,C,D
Hitorigoto,ClariS,J-Pop,,,,,,,,,,,,,,,,
Umi no Koe,Kenta Kiritani,J-Pop,,,,,,,,,E,B,A,E,B,C#,G#,F#
VICTORY,JAM Project,J-Pop,A,E,F#,E,D,E,D,G#,D,G,C,F,F,B-,C,A
Night of Nights,BeatMARIO,J-Pop,B-,C,D,B-,C,D,A,F,,,,,,,,
Love Live Sunshine - GALAXY HidE and SeeK,AZALEA,J-Pop,E-,D,E-,F,G,F,B-,F,F,F,F,F,E-,F,D,G
Renai Saiban - Love Trial,40meterP,J-Pop,,,,,,,,,A,B,G#,C#,F#,B,E,E
Love Live Sunshine - Landing action Yeah,Aqours,J-Pop,,,,,,,,,D,G,A,E,F#,B,E,F#
Zeta Gundam - Mizu no Hoshi e Ai wo Komete,Hiroko Moriguchi,J-Pop,,,,,,,,,B,B,E,E,G,A,B,B
My Soul Your Beats,Angel Beats,J-Pop,,,,,,,,,A,C#,B,A,B,C#,A,G#
ASHIOTO,Akagami feat COCOROBO,J-Pop,D,G,A,B,D,G,A,B,G,D,A,B,G,D,A,C#
Marisa Stole The Precious Thing,IOSYS,J-Pop,,,,,,,,,A,G,F,F,G,F,E,A
PONPONPON,Kyary Pamyu Pamyu,J-Pop,,,,,,,,,C#,C#,A,A,B,C#,A,A
Yuyushiki OP - Seeno,FuwariP,J-Pop,F#,B,C#,D#,F#,B,C#,D#,G,C,D,E,G,C,D,E
Uchuu Senkan Yamato,Isao Sasaki,J-Pop,,,,,,,,,,,,,,,,
Candy Pop,Heartsdales,J-Pop,,,,,,,,,A,D,G,C,A,D,G,C
Koi wa Chaos no Shimobenari,Hidekazu Tanaka,J-Pop,,,,,,,,,C#,D#,C#,C#,F#,G#,F#,F#
Plastic Girl,Capsule,J-Pop,F,F,F,C,B-,A,D,B-,G,F,E,D,C,D,A,G
HARAJUKU IYAHOI,Kyary Pamyu Pamyu,J-Pop,E,G,C,D,E,G,C,G,C,G,D,E,C,G,D,E
Blend-S OP,Blend A,J-Pop,,,,,,,,,,,,,,,,
Naruto Opening Bluebird,Ikimono Gakari,J-Pop,G#,B,E,B,C#,B,A#,D#,E,D#,G#,C#,F#,B,E,D#
Tate Toushou Daimos,Isao Sasaki,J-Pop,,,,,,,,,E-,E-,A-,G,A-,C,D-,C
Love Live - Natsu Owaranai De,BiBi,J-Pop,,,,,,,,,A-,E-,F,A-,D-,E-,E-,F
What's Up,4 Non Blondes,Folk,,,,,,,,,,,,,,,,
The Cave,Mumford and Sons,Folk,C#,E,C#,E,C#,E,B,E,E,A,E,E,A,E,A,E
Kalevala Melody,Ensiferum,Folk,,,,,,,,,,,,,,,,
Only Teardrops,Emmelie De Forest,Folk,,,,,,,,,A,F,C,G,A,F,C,G
Something In The Water,Brooke Fraser,Folk,C,F,C,A,G,C,C,F,A,C,G,C,F,C,F,G
Heart Is A Drum,Beck,Folk,,,,,,,,,,,,,,,,
Morning,Beck,Folk,,,,,,,,,,,,,,,,
Kimigayo,Hiromori Hayashi,Folk,C#,C#,F#,C#,F#,A,G,D,,,,,,,,
Sway,Bic Runga,Folk,A,C#,D,D,A,C#,D,E,,,,,,,,
Shipwrecked,Alestorm,Folk,,,,,,,,,G,B-,F,G,C,B-,G,A
Goodbye Kiss,Kasabian,Folk,,,,,,,,,,,,,,,,
To France,Mike Oldfield,Folk,B,B,F#,A,F#,B,C#,D,D,F#,F#,F#,F#,F#,F#,D
Hoist the Colours,Hans Zimmer,Folk,F,D-,F,F,F,C,C,C,,,,,,,,
Oh Comely,Neutral Milk Hotel,Folk,,,,,,,,,,,,,,,,
The Stable Song,Gregory Alan Isakov,Folk,D,G,D,A,B,G,D,G,,,,,,,,
Town Theme,Michiko Naruke,Folk,E,E,B,D,E,E,D,D,,,,,,,,
Bright,Echosmith,Folk,F#,F#,C#,D#,D#,B,C#,F#,B,F#,D#,C#,B,F#,D#,C#
Malibu,Miley Cyrus,Folk,A-,D-,A-,D-,C,D-,C,D-,,,,,,,,
Valenki,Lidia Ruslanova,Folk,,,,,,,,,F,C,F,B-,F,E-,C,F
More Than A Memory,Carly Rae Jepsen,Folk,,,,,,,,,E,G#,C#,B,A,E,G#,C#
Say Yes,Elliott Smith,Folk,F,C,D,C,B-,F,C,,,,,,,,,
Rosette,Le Vent du Nord,Folk,G,D,E,C,D,G,D,C,,,,,,,,
Amazing,Alex Lloyd,Folk,,,,,,,,,A,E,F#,D,A,E,F#,D
Long and Lost,Florence and the Machine,Folk,,,,,,,,,G,E-,C,F,G,E-,C,F
Rabbit Heart,Florence and the Machine,Folk,,,,,,,,,,,,,,,,
One Day,Asaf Avidan,Folk,,,,,,,,,D#,F#,C#,B,D#,F#,C#,B
The House of God Forever,Jon Foreman,Folk,C,F,C,F,,,,,,,,,,,,
Gibraltar,Beirut,Folk,,,,,,,,,,,,,,,,
Me In You,Kings Of Convenience,Folk,E-,C,F,C,E-,C,G,C,,,,,,,,
Jingle Bells,James Lord Pierpont,Folk,A,D,B,E,A,D,A,E,A,D,A,E,E,A,D,A
Bad Bad Leroy Brown,Jim Croce,Folk,,,,,,,,,G,G,G,G,G,G,G,G
Acts of Man,Midlake,Folk,,,,,,,,,,,,,,,,
Bible Days,Jessica Lea Mayfield,Folk,,,,,,,,,,,,,,,,
Islandsljod,Icelandic Folk,Folk,,,,,,,,,,,,,,,,
The Go in the Go-For-It,Grandaddy,Folk,F,B-,B-,F,C,,,,,,,,,,,
